Name,Allegiances,Book of Death,Male,Nobility,Book1,Book2,Book3,Book4,Book5
Bloodbeard,None,,1,0,0,0,0,0,1
Blue Bard,House Tyrell,,1,0,0,0,0,1,0
Bonifer Hasty,Lannister,,1,1,0,1,0,1,0
Borcas,Night's Watch,,1,0,1,0,0,0,0
Boremund Harlaw,Greyjoy,,1,1,0,0,0,1,0
Boros Blount,Baratheon,,1,1,1,1,1,1,1
Borroq,Wildling,,1,0,0,0,0,0,1
Bowen Marsh,Night's Watch,,1,0,1,0,1,0,1
Bran Stark,House Stark,,1,1,1,1,1,0,1
Brandon Norrey,Stark,,1,1,0,0,0,0,1
Brenett,None,,1,0,0,0,1,0,0
Brienne of Tarth,Stark,,0,1,0,1,1,1,1
Bronn,Lannister,,1,1,1,1,1,0,0
Brown Bernarr,Night's Watch,3,1,0,0,1,1,0,0
Brusco,None,,1,0,0,0,0,1,1
Bryan Fossoway,Baratheon,2,1,1,1,1,0,0,0
Bryce Caron,Baratheon,2,1,1,1,1,0,0,0
Bryen,None,,1,0,0,0,1,0,0
Bryen Farring,Baratheon,5,1,1,0,1,0,0,1
Brynden Rivers,House Targaryen,,1,1,0,0,0,0,1
Brynden Tully,House Tully,,1,1,1,1,1,1,0
Burton Crakehall,Lannister,2,1,1,1,1,0,0,0
Butterbumps,House Tyrell,,1,0,0,0,1,0,0
Byam Flint,Night's Watch,3,1,0,0,0,1,0,0
Byan Votyris,None,,1,0,1,0,0,0,0
Byron,Arryn,,1,0,0,0,0,1,0
Cadwyn,House Lannister,,1,0,0,1,0,0,0
Caleotte,House Martell,,1,0,0,0,0,1,1
Catelyn Tully,House Stark,3,0,1,1,1,1,0,0
Cayn,House Stark,1,1,0,1,0,0,0,0
Cellador,Night's Watch,,1,0,1,0,1,0,1
Cersei Frey,None,,0,1,0,0,1,0,0
Cersei Lannister,House Lannister,,0,1,1,1,1,1,1
Chataya,None,,0,0,0,1,0,0,0
Chayle,Stark,2,1,0,1,1,0,0,0
Chella,Lannister,,0,0,1,1,1,0,0
Chett,Night's Watch,3,1,0,1,1,1,0,0
Chiggen,Lannister,1,1,0,1,0,0,0,0
Chiswyck,None,2,1,0,0,1,0,0,0
Clayton Suggs,Baratheon,,1,0,0,0,0,0,1
Clement Piper,Tully,,1,1,0,0,0,1,0
Cleos Frey,None,3,1,1,0,1,1,0,0
Cley Cerwyn,Stark,2,1,1,0,1,0,0,0
Clubfoot Karl,Night's Watch,5,1,0,0,0,1,0,1
Clydas,Night's Watch,,1,0,1,0,1,1,1
Cohollo,None,1,1,0,1,0,0,0,0
Coldhands,None,,1,0,0,0,1,0,1
Colemon,House Arryn,,1,0,1,0,1,1,0
Colen of Greenpools,House Baratheon,,1,1,0,1,0,0,0
Conn,Lannister,1,1,0,1,0,0,0,0
Conwy,Night's Watch,,1,0,0,1,0,0,0
Corliss Penny,Baratheon,,1,0,0,0,0,0,1
Cortnay Penrose,Baratheon,2,1,1,0,1,0,0,0
Cotter Pyke,Night's Watch,,1,0,0,0,1,0,0
Cragorn,House Greyjoy,4,1,0,0,0,0,1,0
Craster,None,3,1,0,0,1,1,0,0
Cregan Karstark,Stark,,1,1,0,0,0,0,1
Creighton Longbough,None,,1,0,0,0,0,1,0
Cressen,Baratheon,1,1,0,0,1,0,0,0
Cuger,Night's Watch,,1,0,1,0,0,0,0
Cutjack,None,,1,0,0,1,0,0,0
Daario Naharis,Targaryen,,1,0,0,0,1,0,1
Dacey Mormont,Stark,3,0,1,1,0,1,0,0
Daemon Sand,Martell,,1,0,0,0,1,0,1
Daenerys Targaryen,House Targaryen,,0,1,1,1,1,0,1
Dagon Codd,Greyjoy,5,1,1,0,0,0,0,1
Dagmer,House Greyjoy,,1,0,0,1,0,0,0
Dalbridge,Night's Watch,2,1,0,0,1,0,0,0
Dale Seaworth,Baratheon,2,1,1,0,1,0,0,0
Dalla,Wildling,3,0,1,0,0,1,0,0
Dalla (Dragonstone),Baratheon,,0,0,0,1,0,0,0
Damon Dance-for-Me,None,,1,0,0,0,0,0,1
Damon Vypren,None,,1,1,0,0,1,0,0
Dancy,None,,0,0,0,1,0,0,0
Danwell Frey,None,,1,1,1,1,1,1,0
Dareon,Night's Watch,4,1,0,1,0,0,1,0
Daryn Hornwood,Stark,1,1,1,1,0,0,0,0
Daven Lannister,House Lannister,,1,1,0,0,0,1,0
Davos Seaworth,Baratheon,,1,1,0,1,1,0,1
Del,Wildling,3,1,0,0,0,1,0,0
Delp,House Tully,3,1,0,0,1,1,0,0
Denys Drumm,Greyjoy,,1,1,0,0,0,1,0
Denys Mallister,Night's Watch,,1,1,0,0,1,0,0
Dermot,Baratheon,,1,0,0,1,0,1,0
Desmond,House Stark,1,1,0,1,0,0,0,0
Desmond Grell,Tully,,1,1,0,1,1,1,0
Devan Seaworth,Baratheon,,1,1,0,1,1,0,1
Deziel Dalt,Martell,,1,1,0,0,1,0,1
Dhazzar,None,,1,1,0,0,0,0,1
Dick Crabb,None,4,1,0,0,0,0,1,0
Dick Follard,Night's Watch,3,1,0,0,0,1,0,0
Dickon Manwoody,Martell,,1,1,0,0,1,0,0
Dirk,Night's Watch,5,1,0,0,0,1,0,1
Dobber,None,2,1,0,0,1,0,0,0
Donal Noye,Night's Watch,3,1,0,1,1,1,0,0
Donella Hornwood,Stark,2,0,1,0,1,0,0,0
Donnel Drumm,Greyjoy,,1,1,0,0,0,1,0
Donnel Haigh,None,,1,1,0,0,1,0,0
Donnel Hill,Night's Watch,,1,0,0,0,1,0,1
Donnel Locke,Stark,3,1,1,0,1,1,0,0
Donnel Waynwood,Tully,,1,1,1,0,0,0,0
Donnis,House Stark,,1,0,1,0,0,0,0
Dontos Hollard,None,3,1,1,1,1,1,0,0
Donyse,None,,0,0,0,0,1,0,0
Doran Martell,Martell,,1,1,0,0,0,1,1
Doreah,House Targaryen,2,0,0,1,1,0,0,0
Dornish Dilly,Night's Watch,3,1,0,0,0,1,0,0
Draqaz,None,,1,1,0,0,0,0,1
Drennan,House Greyjoy,2,1,0,0,1,0,0,0
Drogo,Targaryen,1,1,1,1,0,0,0,0
Dudley,Stark,3,1,0,0,0,1,0,0
Dunsen,None,,1,0,0,1,0,0,0
Dunstan Drumm,Greyjoy,,1,1,0,0,0,1,0
Duram Bar Emmon,Baratheon,,1,1,0,1,0,0,0
Dykk Harlaw,Greyjoy,2,1,0,0,1,0,0,0
Dywen,Night's Watch,,1,0,1,1,1,0,1
Easy,Night's Watch,3,1,0,0,0,1,0,0
Ebben,Night's Watch,2,1,0,0,1,0,0,0
Eddard Karstark,Stark,1,1,1,1,0,0,0,0
Eddard Stark,House Stark,1,1,1,1,0,0,0,0
Eddison Tollett,Night's Watch,,1,0,0,1,1,1,1
Edmure Tully,House Tully,,1,1,1,1,1,1,0
Edric Dayne,None,,1,1,0,0,1,0,0
Edric Storm,House Baratheon,,1,0,0,0,1,0,0
Edwyn Frey,None,,1,1,0,0,1,1,0
Eggon,None,,1,0,0,1,0,0,0
Elder Brother,None,,1,0,0,0,0,1,0
Eldred Codd,Greyjoy,,1,1,0,0,0,1,0
Eleyna Westerling,Stark,,0,1,0,0,1,1,0
Elinor Tyrell,Tyrell,,0,1,0,0,1,1,0
Ellaria Sand,Martell,,0,1,0,0,1,0,1
Elmar Frey,None,,1,1,1,1,1,0,0
Elyas Willum,Baratheon,,1,1,0,1,0,0,0
Emmon Cuy,Baratheon,2,1,1,0,1,0,0,0
Emmon Frey,Lannister,,1,1,1,0,0,1,0
Emmond,Greyjoy,,1,0,0,0,0,1,0
Emrick,Night's Watch,,1,0,0,0,1,0,1
Endehar,Greyjoy,,1,0,0,1,0,0,0
Elwood,House Tully,3,1,0,0,0,1,0,0
Endrew Tarth,Night's Watch,3,1,0,1,0,1,0,0
Enger,House Tully,,1,0,0,1,0,0,0
Eon Hunter,Arryn,3,1,1,1,0,1,0,0
Erik Ironmaker,Greyjoy,,1,1,0,0,0,1,0
Ermesande Hayford,None,,0,1,0,1,1,1,0
Eroeh,Targaryen,1,1,0,1,0,0,0,0
Erreck,None,,1,0,0,0,1,0,0
Erryk (Guard),House Tyrell,,1,0,0,0,1,1,0
Esgred,Greyjoy,,1,0,0,1,0,0,0
Ezzara,Targaryen,,0,0,0,0,0,0,1
Falia Flowers,Greyjoy,,0,0,0,0,0,1,0
Falyse Stokeworth,Lannister,5,0,1,0,1,0,1,0
Farlen,House Stark,2,1,0,0,1,0,0,0
Fat Walda Frey,None,,0,1,0,0,1,0,1
Flement Brax,Lannister,,1,1,1,0,1,1,0
Fletcher Will,None,3,1,0,0,0,1,0,0
Fogo,None,1,1,1,1,0,0,0,0
Forley Prester,Lannister,,1,1,0,0,0,1,0
Fornio,Night's Watch,,1,0,0,0,1,0,0
Frenken,Lannister,,1,0,0,1,1,0,0
Frenya,Wildling,5,0,0,0,0,0,0,1
Frynne,Martell,,0,0,0,0,0,1,0
Gage,House Stark,,1,1,0,1,0,0,0
Galazza Galare,None,,0,1,0,0,0,0,1
Galbart Glover,Stark,,1,1,1,0,1,0,0
Gared,Night's Watch,1,1,0,1,0,0,0,0
Garin (Orphan),Martell,,1,0,0,0,0,1,0
Gariss,House Stark,,1,0,0,1,0,0,0
Garlan Tyrell,House Tyrell,,1,1,0,1,1,1,0
Garrett Paege,Lannister,,1,1,0,0,0,1,0
Garse Goodbrook,None,3,1,1,0,0,1,0,0
Garth Greyfeather,Night's Watch,5,1,0,0,0,1,0,1
Garth of Greenaway,Night's Watch,5,1,0,0,0,1,0,1
Garth of Oldtown,Night's Watch,3,1,0,0,0,1,0,0
Gawen Westerling,Stark,,1,1,0,0,0,1,0
Gelmarr,House Greyjoy,2,1,0,0,1,0,0,0
Gendry,None,,1,0,1,1,1,1,0
Genna Lannister,Lannister,,0,1,0,0,0,1,0
Gerald Gower,Baratheon,,1,1,0,0,1,0,0
Gerold Dayne,Martell,,1,1,0,0,0,1,0
Gerren,None,2,1,0,0,1,0,0,0
Gerris Drinkwater,Martell,,1,1,0,0,0,0,1
Gevin Harlaw,Greyjoy,2,1,1,0,1,0,0,0
Ghael,None,,1,0,0,0,1,0,1
Ghost of High Heart,None,,0,0,0,0,1,0,0
Gillam,None,,1,0,0,0,0,1,0
Gilly,Wildling,,0,0,0,1,1,1,1
Gilwood Hunter,Arryn,,1,1,0,0,1,0,0
Gladden Wylde,Stark,1,1,1,1,0,0,0,0
Glendon Hewett,Night's Watch,,1,0,0,0,1,0,0
Goady,Night's Watch,,1,0,0,0,1,0,0
Godric Borrell,None,,1,1,0,0,0,0,1
Godry Farring,Baratheon,,1,1,0,0,0,0,1
Godwyn,House Lannister,,1,0,1,0,0,0,0
Goghor,None,,1,0,0,0,0,0,1
Gormond Goodbrother,Greyjoy,,1,1,0,0,0,1,0
Gorold Goodbrother,Greyjoy,,1,1,0,0,0,1,0
Gran Goodbrother,Greyjoy,,1,1,0,0,0,1,0
Grazdan,None,3,1,1,0,0,1,0,0
Grazdan mo Eraz,None,,1,1,0,0,1,0,0
Grazdan mo Ullhor,None,3,1,1,0,0,1,0,0
Grazdan zo Galare,None,,1,1,0,0,0,0,1
Grazdar zo Galare,None,,1,1,0,0,0,0,1
Gregor Clegane,Lannister,4,1,1,1,1,1,0,0
Grenn,Night's Watch,,1,0,1,1,1,1,1
Grey Worm,Targaryen,,1,0,0,0,1,0,1
Greydon Goodbrother,Greyjoy,,1,1,0,0,0,1,0
Grigg,Wildling,,1,0,0,0,1,0,0
Grisel,None,,0,0,0,0,1,0,0
Groleo,House Targaryen,5,1,0,0,0,1,0,1
Grubbs,Night's Watch,5,1,0,0,0,1,0,1
Grunt,None,,1,0,0,0,0,0,1
Gueren,Night's Watch,,1,0,1,0,0,0,0
Guncer Sunglass,Baratheon,3,1,1,0,1,1,0,0
Guyard Morrigen,Baratheon,2,1,1,0,1,0,0,0
Gwin Goodbrother,Greyjoy,,0,1,0,0,0,1,0
Gylbert Farwynd,Greyjoy,,1,1,0,0,0,1,0
Gyles Farwynd,Greyjoy,,1,1,0,0,0,1,0
Gyles Grafton,Arryn,,1,1,0,0,0,1,0
Gyles Rosby,Lannister,4,1,1,1,1,1,1,0
Gynir,House Greyjoy,2,1,0,0,1,0,0,0
Gysella Goodbrother,Greyjoy,,0,1,0,0,0,1,0
Haggo,None,1,1,0,1,0,0,0,0
Hairy Hal,Night's Watch,5,1,0,0,0,1,1,1
Hake,Night's Watch,3,1,0,1,1,1,0,0
Halder,Night's Watch,,1,0,1,0,1,0,0
Haldon,House Targaryen,,1,0,0,0,0,0,1
Hali,Wildling,1,0,0,1,0,0,0,0
Hallis Mollen,Stark,,1,1,1,1,0,0,0
Hallyne,Lannister,,1,0,0,1,0,1,0
Halys Hornwood,Stark,1,1,1,1,0,0,0,0
Hamish the Harper,None,5,1,0,0,0,1,1,0
Hareth (Mole's Town),Night's Watch,,1,0,0,0,1,0,1
Harghaz,None,5,1,0,0,0,0,0,1
Harma,Wildling,3,0,1,0,0,1,0,0
Harmund Sharp,Greyjoy,,1,1,0,0,0,1,0
Harmune,Night's Watch,,1,0,0,0,0,0,1
Harra,None,2,0,0,0,1,0,0,0
Harrag Sharp,Greyjoy,5,1,1,0,1,0,1,0
Harras Harlaw,Greyjoy,,1,1,0,0,0,1,0
Harwood Fell,House Baratheon,5,1,1,0,0,0,0,1
Hazzea,None,5,0,0,0,0,0,0,1
Harrion Karstark,Stark,,1,1,1,1,0,0,0
Harry Strickland,None,,1,0,0,0,0,0,1
Harwin,Stark,,1,0,1,0,1,1,0
Harwood Stout,Stark,,1,1,0,0,0,0,1
Harys Haigh,None,,1,1,0,1,1,0,0
Harys Swyft,Lannister,,1,1,1,1,1,1,1
Helman Tallhart,Stark,3,1,1,1,0,1,0,0
Henly (Maester),None,,1,0,0,0,0,0,1
Heward,House Stark,1,1,0,1,0,0,0,0
High Sparrow,None,,1,0,0,0,0,1,1
Hobb,Night's Watch,,1,0,1,0,1,0,1
Hobber Redwyne,Tyrell,,1,1,1,1,1,1,0
Hod,None,,1,0,0,1,0,0,0
Hodor,House Stark,,1,0,1,1,1,0,1
Holger,None,,1,0,0,1,0,0,0
Holly,Wildling,5,0,0,0,0,0,0,1
Hop-Robin,Night's Watch,,1,0,0,0,1,0,1
Horas Redwyne,Tyrell,,1,1,1,1,0,1,0
Horton Redfort,Arryn,,1,1,0,0,0,1,0
Hosteen Frey,None,,1,1,1,1,1,0,1
Hoster Tully,House Tully,3,1,1,1,1,1,0,0
Hot Pie,None,,1,0,0,1,1,0,0
Hother Umber,Stark,,1,1,0,1,0,0,1
Howd Wanderer,Wildling,,1,1,0,0,0,0,1
Hubard Rambton,Baratheon,5,1,1,0,1,0,0,0
Hugh,House Arryn,1,1,0,1,0,0,0,0
Hugo Vance,Tully,,1,1,0,0,0,1,0
Hullen,House Stark,1,1,0,1,0,0,0,0
Humfrey Swyft,Lannister,,1,1,0,0,0,1,0
Husband,None,,1,0,0,0,1,0,0
Hyle Hunt,None,4,1,1,0,0,0,1,0
Iggo,None,3,1,0,0,0,1,0,0
Illyrio Mopatis,House Targaryen,,1,1,1,0,0,0,1
Ilyn Payne,Lannister,,1,1,1,1,1,1,0
Imry Florent,Baratheon,3,1,1,0,1,1,0,0
Iron Emmett,Night's Watch,,1,0,0,0,1,0,1
Irri,House Targaryen,,0,0,1,1,1,0,1
Ithoke,None,,1,0,0,0,0,0,1
Jacelyn Bywater,Lannister,2,0,1,0,1,0,0,0
Jack Bulwer,Night's Watch,5,1,0,0,0,1,1,1
Jack-Be-Lucky,None,,1,0,0,0,1,1,0
Jacks,House Stark,,1,0,1,1,0,0,0
Jaggot,None,,1,0,1,0,0,0,0
Jaime Lannister,Lannister,,1,1,1,1,1,1,1
Jalabhar Xho,None,,1,1,1,1,1,1,0
Janna Tyrell,Tyrell,,0,1,0,0,1,1,0
Janos Slynt,None,5,1,1,1,1,1,0,1
Jaqen H'ghar,None,,1,0,0,1,0,1,0
Jared Frey,None,5,1,1,1,1,0,0,1
Jaremy Rykker,Night's Watch,5,1,1,1,0,0,0,0
Jarl,Wildling,3,1,0,0,0,1,0,0
Jarman Buckwell,Night's Watch,5,1,0,0,1,0,0,1
Jason Mallister,Stark,,1,1,1,0,1,0,0
Jate,House Lannister,4,1,0,0,0,0,1,0
Jate Blackberry,House Baratheon,3,1,0,0,0,1,0,0
Jeor Mormont,Night's Watch,3,1,1,1,1,1,0,0
Jeren,Night's Watch,,1,0,1,0,0,0,0
Jeyne Poole,Stark,,0,1,1,0,1,0,1
Jeyne Westerling,Stark,,0,1,0,0,1,1,0
Jhaqo,None,,1,1,1,0,0,0,1
Jhezane,None,,0,1,0,0,0,0,1
Jhiqui,House Targaryen,,0,0,1,1,1,0,1
Jhogo,House Targaryen,,1,0,1,1,1,0,1
Jocelyn Swyft,Lannister,,0,1,0,0,0,1,1
Jodge,House Lannister,,1,0,0,1,0,0,0
Jojen Reed,Stark,,1,1,0,1,1,0,1
Jommy,House Baratheon,,1,0,0,1,0,0,0
Jon Bettley,Lannister,,1,1,0,0,0,1,0
Jon Connington,Targaryen,,1,1,0,0,0,0,1
Jon Fossoway,Baratheon,,1,1,0,1,0,0,0
Jon Snow,Night's Watch,,1,1,1,1,1,1,1
Jon Umber (Greatjon),Stark,,1,1,1,1,1,0,0
Joffrey Baratheon,House Lannister,3,1,1,1,1,1,0,0
Jon Umber (Smalljon),Stark,3,1,1,1,0,1,0,0
Jonelle Cerwyn,Stark,,0,1,1,0,0,0,0
Jonos Bracken,Tully,,1,1,1,0,1,0,1
Jorah Mormont,Targaryen,,1,1,1,1,1,0,1
Jory Cassel,Stark,1,1,1,1,0,0,0,0
Joseran,Greyjoy,,1,0,0,0,0,1,0
Joseth,House Stark,,1,0,1,1,0,0,0
Josmyn Peckledon,Lannister,,1,0,0,1,1,1,1
Joss,None,,1,0,1,0,0,0,0
Joss Stilwood,Lannister,,1,0,1,0,0,0,0
Josua Willum,Baratheon,,1,1,0,1,0,0,0
Jothos Slynt,Lannister,,1,1,0,0,1,0,0
Joyeuse Erenford,None,,0,1,1,0,1,0,0
Justin Massey,Baratheon,,1,1,0,0,0,0,1
Jyck,House Lannister,1,1,0,1,0,0,0,0
Jynessa Blackmont,Martell,,0,1,0,0,1,0,0
Karyl Vance,Tully,,1,1,1,0,1,1,0
Kedge Whiteye,Night's Watch,,1,0,0,1,1,1,0
Kella,None,,0,0,0,0,1,0,0
Kennos of Kayce,Lannister,,1,1,0,0,1,1,1
Ketter,Night's Watch,,1,0,1,0,0,0,0
Kenned,House Greyjoy,2,1,0,0,1,0,0,0
Kerwin,House Tyrell,5,1,0,0,0,0,1,1
Kevan Lannister,House Lannister,5,1,1,1,1,1,1,1
Kezmya,None,,0,1,0,0,0,0,1
Khorane Sathmantes,None,,1,0,0,0,1,0,0
Khrazz,None,5,1,0,0,0,0,0,1
Kindly man,None,,1,0,0,0,0,1,1
Kojja Mo,None,,0,0,0,0,0,1,0
Koss,Night's Watch,2,1,0,0,1,0,0,0
Kraznys mo Nakloz,None,3,1,1,0,0,1,0,0
Kromm,House Greyjoy,2,1,0,0,1,0,0,0
Kurleket,None,1,1,0,1,0,0,0,0
Kurz,Night's Watch,2,1,0,0,1,0,0,0
Kyle (Banners),None,3,1,0,0,0,1,0,0
Kyra,House Stark,5,0,0,1,1,0,0,1
Lady of the Leaves,None,,0,0,0,0,1,0,0
Lambert Turnberry,Lannister,,1,1,0,0,0,1,0
Lamprey,Baratheon,,1,0,0,0,1,0,0
Lancel Lannister,Lannister,,1,1,1,1,1,1,1
Lanna (Happy Port),None,,0,0,0,0,0,1,0
Lark,Night's Watch,3,1,0,0,1,1,0,0
Larra Blackmont,Martell,,0,1,0,0,1,0,0
Larraq,Targaryen,,1,0,0,0,0,0,1
Leathers,Night's Watch,,1,0,0,0,0,0,1
Left Hand Lew,Night's Watch,,1,0,0,0,1,0,1
Lem,None,,1,0,0,0,1,1,0
Lennocks,None,,1,0,0,0,1,0,0
Lenwood Tawney,Greyjoy,,1,0,0,0,0,1,0
Leo Lefford,Lannister,2,1,1,1,1,0,0,0
Leo Tyrell,Tyrell,,1,1,0,0,0,1,0
Leobald Tallhart,Stark,2,1,1,0,1,0,0,0
Leona Woolfield,Stark,,0,1,0,0,0,0,1
Leonette Fossoway,Tyrell,,0,1,0,0,1,0,0
Lew,House Stark,,1,0,1,0,0,0,0
Lewis Lanster,None,,1,0,0,0,0,0,1
Lewys Lydden,Lannister,,1,1,1,1,0,0,0
Lewys Piper,Lannister,,1,1,0,0,0,1,0
Lharys,Stark,1,1,1,1,0,0,0,0
Little Walder Frey,None,5,1,1,1,1,0,0,1
Lollys Stokeworth,Lannister,,0,1,0,1,1,0,0
Lommy,Night's Watch,2,1,0,0,1,0,0,0
Loras Tyrell,Tyrell,,1,1,1,1,1,1,0
Lorcas,None,,1,0,0,0,0,1,0
Lord of Bones,Wildling,5,1,1,0,1,1,0,1
Lorent Caswell,Baratheon,,1,1,0,1,0,0,0
Lorren,Greyjoy,2,1,0,0,1,0,0,0
Lothar Frey,None,,1,1,0,0,1,0,0
Lothor Brune,None,,1,1,1,1,1,1,0
Lucan,None,2,1,0,0,1,0,0,0
Lucas Blackwood,Tully,3,1,1,0,1,1,0,0
Lucas Codd,Greyjoy,,1,1,0,0,0,1,0
Lucias Vypren,None,,1,1,0,0,1,0,0
Luco Prestayn,None,,1,0,0,0,0,1,0
Luke of Longtown,Night's Watch,,1,0,0,0,0,0,1
Luton,None,5,1,0,0,0,0,0,1
Luwin,House Stark,2,1,0,1,1,0,0,0
Lyle Crakehall,Lannister,,1,1,0,0,0,1,0
Lyman Darry,Tully,3,1,1,1,1,0,0,0
Lymond Goodbrook,Tully,,1,1,0,0,1,0,0
Lymond Lychester,Tully,,1,1,0,0,1,0,0
Lyn Corbray,Arryn,,1,1,1,0,0,1,0
Lyonel,None,,1,0,0,1,0,0,0
Lysa Tully,House Arryn,3,0,1,1,0,1,0,0
Lysono Maar,None,,1,0,0,0,0,0,1
Mace Tyrell,House Tyrell,,1,1,0,1,1,1,1
Mad Huntsman,None,,1,0,0,0,1,0,0
Maege Mormont,Stark,,0,1,1,0,1,0,0
Maerie (Goodwife),None,3,0,0,0,0,1,0,0
